label, time, delta, theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma
0,0.7442720519999995,250691,32407,7719,2567,4076,3624,3591,1433
0,1.7063527749999992,1033120,129862,14596,7828,13011,6802,1115,3606
0,2.731102270000001,292331,21408,8004,5868,4627,3073,1241,852
0,3.692258067000001,1131003,74445,6235,5967,7903,8508,1806,2255
0,4.715143749999999,1084797,379228,40870,18700,37066,51638,29391,17561
1,0.6900017630000015,153529,11999,4443,1817,2049,786,1744,1119
1,1.7133140770000033,323544,72888,43183,21804,19832,18183,6884,7631
1,2.6701108220000016,51758,5790,1902,2187,1650,1956,1233,1061
1,3.6567533230000038,374854,12229,27644,52817,59665,19459,5156,5524
1,4.723821188999999,1547974,248060,122828,103205,39823,31771,22137,7336
0,0.7288430569999989,20531,13895,2185,8610,2580,1648,925,584
0,1.6257126299999953,207839,16572,5584,6824,2809,5499,1872,1030
0,2.6275487909999953,48127,47808,35355,30293,27081,19705,5163,3826
0,3.6313439329999966,180188,115500,7583,8229,8848,7168,2628,3042
0,4.653675645,348339,233312,41645,45133,33024,26756,10133,7869
1,0.5871156239999991,1274401,103131,14215,8294,9033,3455,1801,1332
1,1.5925701820000029,143293,33237,4359,2808,3925,3667,973,1526
1,2.6192497259999996,231045,73415,7950,5634,6061,4115,1346,1956
1,3.6016703969999995,395281,17321,4401,2834,2055,1479,413,317
1,4.609114111000004,103761,112227,2779,9162,7973,5357,1800,904
0,0.5685034659999957,932967,358902,33876,43880,41148,25653,11132,12608
0,1.5549958799999999,188904,93073,8353,7535,9550,6575,1473,1803
0,2.5840709399999966,388076,6669,1246,2674,3160,2078,1241,1432
0,3.5689993669999964,727464,42371,6931,3008,4792,2564,1021,484
0,4.552887212999998,139252,79104,20790,17766,22780,9336,9601,3824
1,0.5685299379999975,1501307,307018,24608,29967,21311,13885,15130,4257
1,1.532158145000004,160266,29217,6348,3026,5225,4102,2213,1361
1,2.5341036700000004,1335392,128425,54196,36504,24405,16477,6608,5240
1,3.6592026980000014,14255,12525,7001,11124,7835,3287,6699,3507
1,4.537622298999999,12364,10710,7341,2076,6173,7410,1797,1596
0,0.4829050289999941,242736,107536,65282,11539,9441,17656,7842,3727
0,1.505123716,1314767,449681,88969,80817,29902,23066,11376,9635
0,2.4704945629999955,846502,68963,10279,7843,8376,3831,825,1218
0,3.456476748,1278908,91881,7315,9066,6315,5342,1928,1227
0,4.504442985999994,644844,98575,5834,5957,10926,3262,1896,444
1,0.44000396100000216,217773,15458,22236,2139,6924,10083,1366,505
1,1.4660875220000023,45382,8515,33453,9991,5900,8198,8767,5083
1,2.553787098000001,108996,92697,2796,11035,9267,9936,1320,1116
1,3.454523868999999,5636,9699,4262,6905,5418,5711,4392,1504
1,4.456327442999999,424036,81494,6506,5023,18669,10463,2124,4466
0,0.4002824060000023,96982,48648,19927,12819,5541,8238,9589,4518
0,1.4232537809999997,148169,176753,38591,20100,15177,16713,7407,9526
0,2.4095353449999948,83992,81219,25821,16983,21939,4094,6284,5340
0,3.393267756,484221,38254,6856,3854,2754,1534,335,235
0,4.416754502000003,189009,48024,3295,3235,1483,2427,1473,1071
1,0.37881151199999863,342810,63092,22858,5488,10674,5249,664,910
1,1.4706918109999947,229812,42137,8875,14176,15048,9230,5253,2162
1,2.3945039329999958,160556,48787,6729,6673,7897,4805,2656,3245
1,3.35780226899999,135814,4942,4457,4939,1953,231,758,328
1,4.384491736000001,238847,92021,20993,18161,48562,10387,5069,4709
0,0.3148793729999966,186457,16522,10183,7076,7773,1902,1315,1287
0,1.2971503429999984,111819,225037,93956,45655,21834,11550,5919,5750
0,2.3023531389999903,1185524,257564,46074,11320,12908,5794,1749,2319
0,3.31098798699999,226360,439532,19156,13954,55938,13580,4485,9787
0,4.294119765999994,200887,58606,7717,2616,5333,3635,2725,954
1,0.37903757300000507,48505,12748,3296,1646,1767,1095,919,248
1,1.2796090540000051,312307,75523,24365,5552,22049,4286,4816,5041
1,2.262181241999997,62858,23178,3233,2495,1543,1205,350,407
1,3.2494553629999956,824770,561400,5933,12912,47220,33007,7584,7208
1,4.253918476999999,126848,8940,4658,1629,1623,1151,424,221
0,0.23227765299999703,418043,84823,9783,8618,23151,9877,5828,6779
0,1.2143362999999994,963035,145939,22474,27913,83049,36136,22878,14551
0,2.244665538999996,394445,148347,71683,12293,44784,11147,5171,7348
0,3.2094541880000094,1902936,327385,55928,36545,22294,10416,7984,6827
0,4.255005871000009,28267,9397,3637,3197,4440,2676,3131,2118
1,0.2524553969999914,213746,2966,13361,1887,3540,4988,810,1196
1,1.1921777179999964,266424,201421,26690,44477,12023,8484,12227,5216
1,2.217481738999993,86910,366656,9461,10341,12680,16574,3161,4219
1,3.2014494470000017,2083152,664857,82980,45655,35359,24127,18237,10371
1,4.189375143999996,1376203,111729,21057,14673,14718,6059,4910,1619
0,0.12766373000000897,281176,41092,6240,2029,2993,2043,1088,652
0,1.1981171529999983,169803,302386,70114,36732,30733,22098,5187,3160
0,2.1402019420000045,2747214,348924,42587,37057,40793,18108,11477,8514
0,3.2093274140000005,84217,33077,12032,9142,2764,4839,2244,7588
0,4.1323950910000065,223760,164897,13051,39320,11413,23326,3920,3948
1,0.1055041110000019,3154778,376832,32921,19815,14597,22276,9563,5177
1,1.1128146390000069,94232,76338,6296,4327,5957,2441,2497,1246
1,2.1190657070000043,1910299,407285,36896,54258,13087,9547,10670,10054
1,3.0837793120000043,1438610,175442,10078,1740,11074,13457,5995,5180
1,4.091646396000002,783846,62526,16006,6666,4356,4421,1206,532
0,0.04193411600000729,362171,56217,9189,15969,7661,4477,8576,5745
0,1.0681938760000094,259714,146395,31646,21364,17850,10706,5274,4848
0,2.1001012810000077,2889045,159720,37648,28153,19337,19394,14473,5990
0,3.0429409770000007,127970,24981,4460,5959,3215,1877,757,1187
0,4.067756571000004,145785,261238,20207,22677,8570,9429,3435,3690
1,0.02244367200000852,15518,9282,8633,3213,6247,4602,1953,2554
1,1.0317915420000077,12809,20351,4781,4883,9121,10032,3956,7454
1,2.141109732000004,25650,11065,935,3956,2697,1386,1213,1231
1,2.996776754999999,15241,15708,667,7588,15126,5481,2799,2217
1,4.023099187,335019,655898,50488,7515,18572,11059,10097,3344
0,0.022246741000003567,26865,29587,19590,4488,2397,7975,2803,1717
0,1.0273887329999951,114646,167277,55627,4150,10586,6378,4455,2167
0,1.9463646210000007,899555,107464,26290,18087,8431,6286,2502,2925
0,2.997499097000002,154325,199098,69593,30369,19124,6364,6900,6725
0,3.9824556960000024,36053,19816,5715,2420,622,2063,568,254
0,4.967381930000002,1273904,74103,9685,6448,11964,3526,611,815
1,1.008384614999997,138837,2387,1711,631,556,639,233,189
1,1.9513197610000077,1053805,128531,42876,22614,14542,9280,5856,2024
1,2.937706551000005,81735,31873,8572,8023,6413,4033,4138,1282
1,3.9847026260000007,141188,34188,5740,4924,5823,2802,1648,1633
1,4.9900999299999995,21560,66710,26532,11297,10225,18173,5071,2777
0,0.9032800459999919,735201,135157,61565,18706,15908,18846,5130,4155
0,1.931740512999994,1388358,306150,107610,49971,56048,33310,11444,3413
0,2.897788777999992,66660,23540,1310,1962,4080,4459,1882,1011
0,3.924650534999998,218249,42803,3825,6432,6008,3516,2973,801
1,0.001072675000017398,63329,23962,13192,6994,30943,13346,4359,3143
1,0.8621906740000043,927060,92738,19385,11147,10163,8138,2659,1869
1,1.8690770290000103,107440,29251,2360,1247,5331,797,270,297
1,2.8777769300000102,30761,19662,11418,2820,4942,5041,4968,3672
1,3.8823613860000137,99740,288560,22789,4844,18701,22445,8642,4597
1,4.865913424000013,106963,18581,12723,17577,26409,19115,9226,3436
0,0.8552393300000176,589634,237508,29705,60629,84963,73774,30083,9585
0,1.8392115999999987,160101,19179,4660,2308,818,920,147,130
0,2.821129872,57177,24211,1919,18976,3166,7584,3120,1651
0,3.933493045000006,31219,9411,7804,3034,4172,6745,2352,1179
0,4.859894976000021,516481,96203,16109,7913,41060,31014,13933,10743
1,0.7969193749999874,345433,24536,12006,4985,3103,2613,2207,1152
1,1.8026090859999897,99049,10469,1014,1540,1390,611,390,146
1,2.8462985059999824,229427,57022,6282,479,5055,4811,1862,850
1,3.7871844750000037,10944,7291,2769,2248,4366,2511,2603,2598
1,4.772058703999988,9610,9680,19908,2102,2692,5367,5661,6294
0,0.7796528810000041,30250,48709,4493,14365,50536,37437,6091,4740
0,1.7642841859999976,154475,13711,7607,4665,3512,318,397,312
0,2.8500281130000076,1179532,73543,7706,8401,6890,3646,1392,1308
0,3.794835345000024,469647,322048,55922,18604,16151,9622,2598,3599
0,4.758569843000004,195756,15909,1096,8595,8487,2157,860,1644
1,0.7101340279999988,99281,27946,15332,4276,4447,5729,7995,3450
1,1.759614776999996,158323,72023,50329,11514,9641,4733,1142,1681
1,2.7201566319999984,287689,147027,14365,8258,5807,10270,5634,3182
1,3.726604151999993,72371,103225,34976,34243,54900,6729,5637,4832
1,4.757233513000017,195387,15919,2315,1643,993,438,193,206
0,0.6923246200000222,77825,27243,29531,18883,13272,8014,7147,4546
0,1.739792336000022,579533,44599,15299,13806,3453,5389,1471,889
0,2.6604180710000094,198701,27978,1393,2751,1404,1711,241,252
0,3.664691253000001,266670,42273,5527,5836,3949,6143,3553,1634
0,4.648902686000014,669096,82963,8732,9296,11056,7747,6172,2783
1,0.6520667440000238,311838,48527,18539,5871,6630,5503,1610,2817
1,1.6553687470000114,188415,170698,24151,15626,6658,5606,4878,3370
1,2.7871809869999993,1997098,505168,54481,21326,35934,31201,7243,7056
1,3.6477878430000032,34104,53267,23108,12992,11224,12132,4986,2409
1,4.634157029000022,121400,47671,17697,21872,5459,5692,1902,2347
0,0.6943377810000015,3327688,255847,107636,85318,23661,27859,10476,8050
0,1.5941813329999945,141518,22070,9208,1097,4004,1687,1614,1506
0,2.581319049000001,46821,15855,8552,13829,15541,6719,11340,7735
0,3.589541101000009,80780,26895,2374,3960,3203,1702,821,350
0,4.597977813,1062169,279432,35247,22110,17320,9730,7802,6187
1,0.5459028430000217,179745,24623,6956,20389,5757,11305,9223,3121
1,1.5334325219999982,55502,44333,6176,10223,6096,7295,2403,1075
1,2.551807464999996,252478,16817,624,2617,2099,3487,717,742
1,3.5488106380000204,640778,76740,18262,7437,3950,5997,2335,2522
1,4.597345228000023,947901,82456,26089,8887,8254,4692,2944,2534
0,0.0019451570000015295,61722,34392,12531,3837,6021,7993,3814,3406
0,0.003509219999997981,1009223,81574,17622,9648,6012,4271,4726,2207
0,0.004874213000000793,296178,81907,4781,3547,5121,4630,2604,1953
0,0.006357807000000548,690258,376516,93257,21808,15987,24719,32117,29760
0,0.5335119140000018,174368,87130,21146,25920,60344,11052,13960,16844
0,1.5598678639999974,363191,85668,21170,7056,10936,3726,4573,6620
0,2.5045910780000042,203188,150290,51930,12529,11128,10171,8700,2677
0,3.5308430449999975,229992,22357,2315,3932,2683,6241,2265,1140
0,4.496561612000001,137726,20808,7397,5973,2394,2945,1343,1233
1,0.4596368459999951,2098704,81624,6189,25150,13575,16501,5900,3511
1,1.4867552669999995,1166430,61059,22985,10966,21753,10467,1923,1695
1,2.452639679999997,2705119,398469,42297,22532,25688,16586,6072,4862
1,3.458617896,93515,52820,6523,14798,5260,3203,1560,727
1,4.485959786999999,34061,42165,57327,13179,10522,13325,4565,1916
0,0.6096146950000048,58986,130112,14030,28909,9451,19691,2969,4267
0,1.4294948020000007,2159384,1133196,61232,117170,42888,41418,13063,12239
0,2.479869145000002,1072905,44322,12509,14127,4801,4553,1888,1228
0,3.4432899120000044,296345,138409,6298,11544,8883,6572,3076,1994
0,4.408496808999999,554678,351931,6316,20935,40510,21567,5805,4018
1,0.39869673100000114,388413,167449,36926,47777,20658,14765,6924,3924
1,1.382288379000002,80422,47231,30018,8897,26346,20207,6656,4067
1,2.381533943000001,1515015,82807,18743,15898,9142,4893,3771,1063
1,3.3671656889999966,1197432,121285,24513,10566,9005,6965,3226,3009
1,4.393165531999998,16366,19083,7943,3629,8031,1959,2835,3975
0,0.3581620529999938,9604,6209,9536,2056,3309,14413,2707,2331
0,1.3428753699999945,353171,55640,3353,7631,4275,3679,1478,974
0,2.329413729999999,1016758,62980,64533,60714,41568,40488,22664,9817
0,3.3179620209999996,607302,269131,42115,19300,40339,16556,8707,3039
0,4.346465041999998,13556,32939,8087,4231,11881,14570,5719,4110
1,0.2958565670000013,122827,123052,12309,14231,5074,4479,3258,2035
1,1.3465280939999928,43338,11184,4508,8942,5566,18335,4709,3945
1,2.2923741649999982,29914,23354,3160,7971,6382,6308,2455,7192
1,3.298917222,33338,9419,10104,4119,5370,2985,1917,2117
1,4.286869631999991,61400,57336,58824,43053,53593,9833,6680,2634
0,0.23073559299999147,30964,31470,2171,1997,2797,2674,321,384
0,1.2974720909999888,36591,27465,25946,16151,9479,3897,2998,3028
0,2.222118985999998,269189,13699,4007,4611,8511,8193,2175,1140
0,3.226635003999988,48568,12052,8244,8415,8922,5929,2625,2195
0,4.232089871999989,398370,84283,23048,11622,36379,24824,5298,4970
1,0.23147677900000474,300429,90583,12890,10099,21146,21287,5556,5047
1,1.1968036979999965,1363215,103947,25178,16895,1895,5547,3936,1639
1,2.2247212630000064,144833,26035,7257,2810,2064,2046,282,488
1,3.190883495999998,30239,45699,27006,9011,6676,5937,1491,1131
1,4.176788303999999,64195,38201,9148,1019,2894,3330,2675,1372
0,0.2113900359999974,1165220,309228,8118,11630,8236,6047,14485,2486
0,1.1558212089999955,180098,29005,20424,3790,5215,1698,1136,1609
0,2.1830193990000026,927009,54343,8520,2697,3382,5736,898,783
0,3.164342253000001,70644,7161,10782,3440,7230,7446,8342,6133
0,4.1896180079999965,83325,20062,3911,5888,4347,4713,1200,2070
1,0.14791360600000303,492670,105830,4478,29694,9108,7433,5023,2580
1,1.131977704999997,83083,26453,18269,12461,15193,11450,6671,8339
1,2.139861484000008,1657406,140941,2372,125037,70470,19844,11860,15019
1,3.142588525000008,307564,26518,5187,4848,10586,1625,1016,1176
1,4.274468769000009,80924,55188,37087,6884,21258,6814,4522,1773
0,0.12578576800000008,22284,7214,14897,4151,12555,9293,2395,2104
0,1.1314180720000024,364506,40629,7659,2665,3443,4954,1380,655
0,2.113648570999999,119502,38732,7146,1421,1539,879,489,409
0,3.141457889999998,161721,52848,12965,1886,4314,1634,1297,685
0,4.125560876999998,101852,54673,3220,1273,3950,4036,649,2090
1,0.1278779570000097,864898,32832,5522,10475,4989,10050,4988,5224
1,1.1085004700000098,12364,26524,20530,4876,8692,5801,4813,2207
1,2.0914356060000046,145784,23812,9531,1731,1379,891,1081,701
1,3.2243872570000036,2343,16189,18043,15267,4146,5438,4150,2453
1,4.10628164500001,120929,44608,7998,3424,3251,2323,1456,750
0,0.10540671100000054,10830,7760,2762,9805,6448,3096,3024,1770
0,1.0677210650000006,244444,58576,11558,3241,3246,2196,523,670
0,2.09691852200001,57694,122171,10054,1211,11259,1587,1053,870
0,3.0847197090000122,158403,236884,12512,10603,12752,9316,14908,3664
0,4.259968268000009,134966,76407,29943,2795,5767,3534,1911,1648
1,0.08556552999999667,94893,39900,6546,9029,4887,2874,1546,1547
1,1.0513195249999967,2950172,516731,23348,52833,39928,21048,5145,7549
1,2.1217145629999976,46012,36752,6775,5860,5259,3153,741,2140
1,3.148844209999993,10237,32566,5902,3444,3569,6794,1719,1670
1,4.008639771000006,139735,5763,4896,3749,6113,3551,1173,583
0,0.00103243999998881,234850,28568,12247,2754,3445,1610,867,394
0,1.051313166,13455,20244,12810,8892,14829,3982,2980,2151
0,1.9961588569999975,112395,13066,4143,324,861,609,501,364
0,2.999807632999989,641007,483404,29493,26043,16269,7936,3572,2660
0,4.0481073729999935,24299,5404,13807,4297,10908,2916,2745,5151
0,4.991605372999999,199371,47439,1336,5569,5037,3408,1344,1482
1,1.0286465610000022,24570,18153,14310,7547,6268,7246,6546,5672
1,1.9516376229999963,114679,3513,782,849,1293,1345,352,815
1,2.960331193000002,14664,13896,8448,6297,4667,2931,2567,2890
1,3.943732459000003,40115,59624,6917,16056,9549,10097,5662,4760
1,4.931553715999996,2091745,127885,24885,11007,18829,9843,9054,5248
0,0.9225194469999991,37355,73541,1076,7516,8456,10809,10818,1854
0,1.970597524999988,317376,14722,1638,2480,7887,8441,1047,599
0,2.9145304009999933,81711,17735,1830,2822,3317,4189,722,1290
0,3.9203651589999993,188763,120519,54965,44713,27945,11230,4387,3264
1,0.0010109539999945127,38385,120630,9403,2143,2361,4989,3484,932
1,0.899058385999993,716871,84002,50994,40171,28232,22705,5379,13622
1,1.9033742359999906,101455,5076,1015,461,2115,300,414,427
1,2.8899401869999934,13648,24633,3210,7490,8377,2826,6171,2464
1,3.896804139999986,9546,69349,22895,11780,12283,12727,3614,3192
1,4.905160451,634180,158570,11080,9686,7865,4670,2101,1309
0,0.857134713000022,30855,13675,9758,6051,4877,5431,3676,3087
0,1.8633090100000231,168076,52815,12821,5325,3922,2436,1843,501
0,2.8893710760000033,221765,108742,33589,15273,6617,14820,12834,5573
0,3.8954556530000275,74348,74732,2492,15216,42744,21527,20492,5639
0,4.860094576000023,380666,29570,2728,7901,1029,1340,5360,1189
1,0.8591292879999912,1342894,77636,18792,3895,17463,15991,11057,9828
1,1.824399704000001,113907,55975,4852,7574,2651,2285,1177,963
1,2.829715483000001,573909,330644,93138,51790,9212,4641,13933,6880
1,3.8528907489999824,6786,16028,13260,2118,4704,8572,3594,2451
1,4.818882783999982,180669,18781,5349,5512,3873,4077,1052,1195
0,0.8146966809999867,40987,28995,22428,25439,12020,12577,5252,2968
0,1.8621573839999996,353646,89106,10785,14756,17160,5714,2988,1990
0,2.9293564299999844,178033,85282,17317,16102,6619,6394,1883,1935
0,3.8091902209999944,1062662,43177,51541,46398,21239,8622,4561,4269
0,4.794201165000004,406248,43292,39313,9468,12002,11534,11026,13188
1,0.7765460500000074,28395,51981,3565,2777,13513,9333,3816,1893
1,1.7816389190000166,61634,11322,7328,5529,3185,1026,518,421
1,2.7667330190000143,35654,36143,11297,11074,5914,4553,2774,4259
1,3.7732378450000112,255174,223662,27207,18856,7992,9644,6789,5524
1,4.781323818999994,48936,36131,12954,3253,20140,9089,1545,2354
0,0.7334987389999981,54126,25371,10106,5063,12542,7514,4748,3871
0,1.8050639610000019,308615,229632,18294,17214,13880,5205,6653,3247
0,2.7494715910000025,164481,62682,13259,30191,79749,27255,21053,8173
0,3.7334877099999915,241051,69899,18661,2917,9744,7769,2073,1988
0,4.760560632999983,149083,60421,6812,29655,22355,11823,1439,1540
1,0.7138396510000007,219693,25518,3467,5449,1207,943,343,391
1,1.717180968000008,33889,67802,10958,10841,8479,6639,1856,852
1,2.7449066249999987,339991,91515,5653,6630,3437,1865,764,799
1,3.7511517920000017,115705,137015,7074,10988,20484,11987,7172,4132
1,4.695273458000003,2348449,531848,93604,42002,37066,20365,9779,5850
0,0.7764008860000047,20319,37452,9296,18692,10669,3179,1629,900
0,1.7003596449999918,1171759,313044,10237,38809,122605,26111,6480,15727
0,2.6845424370000046,1363407,71131,27550,6771,10175,5361,2493,2546
0,3.710863527000015,1664937,900859,164293,24882,63981,24071,25818,5698
0,4.694986848000013,1181307,14624,16069,12723,14858,7821,12346,2789
1,0.6505647319999923,83899,17610,8151,5057,6051,9277,7423,4869
1,1.7388687739999966,122203,143644,11085,11206,17687,12821,4505,1570
1,2.6624539169999935,144659,22410,4198,20268,6459,8186,3520,7972
1,3.669984760999995,63588,29184,5093,1586,1177,1174,303,671
1,4.739791655000005,192350,9730,2671,4102,1965,3401,2446,942
0,0.6050092700000107,565654,115205,6539,4182,2978,5047,3880,2335
0,1.613689930000021,132902,24492,4903,7364,5035,6216,3214,2169
0,2.6623854489999985,412801,500569,200902,103055,108680,24382,11439,26063
0,3.625754649000015,111636,18103,4471,9046,4492,1176,760,773
0,4.612371064000001,372975,39109,1847,3882,949,1458,828,733
1,0.5883272439999985,97965,35939,5207,1512,1627,2669,1119,1815
1,1.5304018680000127,2296850,913138,481486,87190,121575,57442,12256,10283
1,2.53601656699999,1443238,58925,4057,3960,16710,7018,8798,5654
1,3.606024660999992,620932,422026,13219,1540,7398,9777,2849,7318
1,4.551032804000016,122466,11079,7369,7073,6446,4671,4288,3001
0,0.5249988930000029,322676,311463,30498,14139,30417,7399,15089,7668
0,1.511662016999992,364485,144144,4288,7397,10484,4866,2317,1090
0,2.4979246709999927,56539,4066,1585,5185,4432,1671,747,915
0,3.4852763600000003,225787,34831,5532,3100,3661,5006,2798,1624
0,4.4903576199999975,450002,45464,2156,10923,18656,11217,7012,5109
1,0.46217397399999527,382166,530325,13618,17129,12701,21887,18567,16971
1,1.492351262999989,252853,170165,6163,14070,23931,4330,1109,4101
1,2.476947889999991,83221,69023,52627,118903,50590,17111,26621,5055
1,3.4615389219999884,100449,14014,985,3853,1033,1051,414,333
1,4.467416442000001,964664,145451,34574,13436,7351,17596,6281,8183
